red_mean,green_mean,blue_mean
131.7919,120.7516,105.4227
138.2317,121.2489,94.4842
132.5126,121.3426,105.9854
137.097,120.4143,93.5989
131.578,120.551,105.3846
136.2284,119.7569,94.2802
134.2685,123.6296,108.5715
140.4943,123.9066,97.7682
132.2245,121.5587,106.8526
143.4392,126.9718,100.5813
132.7897,122.3355,107.6888
142.1697,126.5279,100.52
131.9351,121.6775,107.162
142.6054,127.0357,101.2365
131.1578,120.9376,106.3907
141.8832,126.2685,100.2347
133.119,123.1991,108.2976
139.877,124.6278,100.072
134.2531,123.8794,108.5551
140.4596,125.2981,100.7079
135.8383,125.8978,110.5288
143.1782,127.8787,103.0608
135.6804,126.0238,111.3869
135.6804,126.0238,111.3869
137.893,128.1704,113.0656
137.893,128.1704,113.0656
132.0323,121.86,107.1073
132.0323,121.86,107.1073
131.2745,121.1644,106.4391
131.2745,121.1644,106.4391
131.4774,121.6053,106.6476
131.4774,121.6053,106.6476
131.4459,121.5379,106.7013
131.4459,121.5379,106.7013
132.1904,122.4399,107.4918
132.1904,122.4399,107.4918
132.7579,123.0648,108.1034
132.7579,123.0648,108.1034
133.3982,123.5611,108.8841
133.3982,123.5611,108.8841
135.3735,125.647,110.9803
135.3735,125.647,110.9803
134.0786,124.4899,109.6297
134.0786,124.4899,109.6297
134.6953,125.4909,110.7502
134.6953,125.4909,110.7502
134.416,125.3056,110.7672
134.416,125.3056,110.7672
134.9904,126.518,112.2556
134.9904,126.518,112.2556
134.0335,125.5444,111.5009
134.0335,125.5444,111.5009
133.8941,125.6095,111.4901
133.8941,125.6095,111.4901
134.1838,125.8539,111.6281
134.1838,125.8539,111.6281
139.73,131.6048,117.5416
139.73,131.6048,117.5416
140.2122,132.1281,118.3234
140.2122,132.1281,118.3234
143.1337,135.3432,122.4961
143.1337,135.3432,122.4961
143.2747,134.8443,121.7841
143.2747,134.8443,121.7841
139.0885,130.5087,117.6299
139.0885,130.5087,117.6299
135.2073,126.8048,114.2377
135.2073,126.8048,114.2377
135.2237,126.7983,114.1036
135.2237,126.7983,114.1036
132.2699,123.7164,110.8732
132.2699,123.7164,110.8732
131.5269,122.7924,109.7437
131.5269,122.7924,109.7437
133.6881,124.8119,111.5592
133.6881,124.8119,111.5592
136.0367,127.8041,114.8103
136.0367,127.8041,114.8103
136.2238,127.7812,115.256
136.2238,127.7812,115.256
134.6606,124.8533,111.644
134.6606,124.8533,111.644
131.0308,120.1529,106.2782
131.0308,120.1529,106.2782
131.9097,120.9766,107.003
131.9097,120.9766,107.003
133.3469,122.2973,108.592
133.3469,122.2973,108.592
132.3017,120.6857,106.1153
132.3017,120.6857,106.1153
129.6821,117.3701,102.1431
129.6821,117.3701,102.1431
128.5761,116.592,101.7069
128.5761,116.592,101.7069
128.1807,116.3137,101.5132
128.1807,116.3137,101.5132
126.4528,114.1236,99.5745
126.4528,114.1236,99.5745
129.617,117.395,101.8105
129.617,117.395,101.8105
133.7609,121.0519,104.7403
133.7609,121.0519,104.7403
133.4146,122.1985,107.0385
133.4146,122.1985,107.0385
130.0972,118.5313,103.7395
130.0972,118.5313,103.7395
128.8649,117.7605,102.5794
128.8649,117.7605,102.5794
129.2699,118.3953,103.1233
129.2699,118.3953,103.1233
130.855,120.2743,105.1979
130.855,120.2743,105.1979
130.7056,120.0363,104.7522
130.7056,120.0363,104.7522
132.6094,122.2577,106.8388
132.6094,122.2577,106.8388
134.1029,124.1141,108.708
134.1029,124.1141,108.708
134.7461,124.3896,108.896
134.7461,124.3896,108.896
137.0841,126.4775,110.5592
137.0841,126.4775,110.5592
136.8807,126.1574,110.272
136.8807,126.1574,110.272
136.1624,125.247,109.489
136.1624,125.247,109.489
